User_Embed,Campaign_Embed,interaction
234,37697,2
584,4474,1
909,13399,2
530,904,2
123,5381,1
635,13365,2
164,25319,1
39,22738,2
861,34650,2
753,38399,2
85,3996,2
621,55481,1
493,6252,1
922,54772,2
79,53221,1
261,41749,1
329,46815,1
916,37066,1
598,49158,2
323,30932,1
126,43694,2
879,55412,2
431,35917,1
199,52288,1
82,9394,1
100,24188,2
210,30232,1
144,4853,2
494,36284,1
97,50339,2
714,28027,1
822,30275,1
609,54285,2
870,37285,2
910,37070,1
992,55739,1
144,14561,2
538,6316,2
391,346,2
979,55716,2
909,3002,1
6,15303,1
396,36808,2
781,40301,2
233,43094,2
201,51821,2
807,31608,1
522,4394,2
442,30884,1
1,22369,2
717,22074,1
226,14867,2
892,36611,2
789,47301,2
812,11692,2
18,26768,2
719,17357,1
344,12244,1
12,37672,1
309,42143,2
698,24031,2
738,37288,1
888,24460,2
394,18053,2
150,43785,2
433,45519,1
948,12102,1
875,11391,1
789,20623,1
814,44875,2
460,43055,2
777,19493,1
89,24500,1
700,47823,1
533,52398,2
656,31886,1
603,41250,2
942,12894,1
590,1650,1
727,30884,1
815,53883,2
637,31106,1
949,47427,2
143,31366,2
519,24427,1
29,23321,2
744,23912,2
673,31996,1
180,44803,1
724,28144,2
281,4230,2
90,17573,2
263,28226,2
330,51392,1
794,13096,1
742,14324,1
882,47780,1
231,1575,2
899,46091,1
283,31161,2
485,36445,1
243,43579,1
700,16751,2
142,53345,2
45,55359,2
15,34645,1
70,55695,1
85,586,1
617,11338,2
817,44215,2
765,44764,1
111,28252,1
63,38502,1
454,54311,2
660,47816,2
518,54768,1
181,13592,1
346,25319,2
507,43660,1
698,8009,1
298,785,1
730,18050,1
571,37388,1
947,52519,2
347,46630,2
70,42604,2
607,38712,1
770,41382,2
986,44543,1
851,39334,1
423,1531,1
778,33351,1
551,21007,2
661,23700,2
194,13886,2
538,47517,2
586,4887,2
259,22613,2
533,11736,2
541,47825,2
706,7627,1
940,30013,2
790,21574,1
799,19248,1
574,21331,2
29,20896,1
745,2632,1
491,6336,2
682,22345,2
257,14764,1
880,1823,2
451,15346,1
968,20576,2
113,35534,1
879,38971,1
828,25532,2
28,27778,2
44,27034,1
880,24445,2
578,43069,1
994,45900,1
733,2052,1
671,14806,2
739,44459,1
618,41289,1
557,25235,2
492,8027,1
985,33280,2
549,50392,1
818,36051,1
559,46041,2
475,32484,2
793,42430,2
360,16486,2
579,8465,1
789,44552,1
926,10591,1
49,51147,1
449,9191,2
649,9009,2
654,14910,1
814,34940,1
426,42175,2
534,40258,1
919,2397,2
740,24488,1
34,25655,2
790,7229,2
163,48663,1
235,45074,1
380,13949,2
697,54308,1
375,24940,1
215,5814,2
799,7930,1
557,52956,1
435,36784,1
923,13550,2
463,41222,1
665,52958,2
283,22110,1
225,4352,2
710,6885,1
780,10639,2
438,48532,2
248,35084,1
592,40362,1
355,47444,2
603,17047,1
146,24996,1
574,1354,2
640,3832,1
250,12815,2
566,4509,2
489,51677,2
358,19355,1
403,587,1
577,38937,2
15,49438,2
922,54179,2
663,17193,2
386,27925,2
818,35709,1
923,45205,2
412,37202,2
984,44181,2
112,375,2
904,13688,1
307,20801,1
905,11615,2
569,41635,1
748,51941,1
225,1523,2
290,20696,1
46,2590,1
506,45701,1
836,45840,1
685,49087,2
148,28409,2
694,25638,1
310,28803,2
540,40894,2
56,22300,1
750,7124,2
872,25398,2
874,14147,2
575,26528,2
697,7193,2
856,39206,2
853,17946,1
663,54070,2
327,35519,1
123,51279,2
607,8887,2
289,37340,1
454,48415,1
837,9935,1
152,2005,2
139,43687,2
492,33812,2
601,22041,1
557,36527,1
781,50210,1
187,43416,1
349,32826,1
962,13212,1
318,35508,1
896,6191,2
420,13656,1
928,22501,2
123,5003,1
957,41547,1
879,4822,1
90,12001,2
613,32454,1
713,14208,1
458,37546,2
635,13914,2
304,41272,1
58,30276,2
831,31734,2
806,27623,2
49,4395,1
521,22214,1
78,22597,2
261,20995,1
27,53442,1
637,18372,2
278,27390,1
653,44866,1
92,27455,2
274,22829,1
856,36950,2
116,18493,2
98,34874,2
62,8613,2
24,38240,2
464,22761,1
888,29474,1
457,19378,2
339,29739,2
595,6711,1
287,36891,1
96,13488,2
67,20603,2
992,46128,2
918,6975,1
71,32119,2
518,37685,1
237,29836,2
914,1867,2
823,29689,2
769,25498,1
343,20905,1
787,187,1
806,703,1
895,17729,1
344,52620,1
10,51891,1
528,12431,1
986,23076,1
622,5098,2
115,40593,2
988,8089,2
801,6637,1
836,40579,1
119,32167,2
205,21882,2
541,37337,1
585,42261,1
59,26157,1
919,43385,1
322,46492,1
502,3854,1
505,19167,2
317,13513,2
926,21072,1
889,46164,2
820,20724,2
188,7266,2
814,47455,2
253,42014,2
12,28063,1
137,52166,2
103,42529,1
366,41305,2
646,36108,1
332,51378,1
385,19283,1
41,3429,2
123,54307,1
40,19993,1
613,43525,1
713,7490,2
98,48777,1
954,22932,1
652,1967,2
64,43082,2
552,12115,1
102,1114,1
63,7219,2
813,47888,1
360,52948,1
776,5205,2
580,54438,1
821,15937,1
774,35015,2
427,20688,1
924,5863,1
396,7537,2
458,33248,1
184,41173,2
345,45578,2
471,11376,2
385,31625,2
502,8104,2
563,49932,2
583,47468,2
847,3668,1
635,27457,2
754,46177,2
188,11836,1
179,49736,1
181,39235,1
798,42771,2
13,11055,2
726,39382,2
643,42440,1
861,48541,1
590,27083,1
671,30708,2
702,28879,2
18,6506,2
573,20058,2
811,4211,1
26,25903,2
664,53302,1
645,11092,1
574,41740,2
32,52311,2
853,163,1
170,3591,1
245,25974,1
590,6687,1
323,51419,2
858,40810,1
889,41751,1
330,42385,2
297,11528,1
329,44846,2
431,22982,2
756,38317,1
274,19472,2
429,17419,1
502,16029,2
352,25781,2
940,14122,2
924,10938,2
400,31788,1
457,1778,1
977,16802,2
944,6269,2
173,32209,2
196,22946,1
726,6671,2
354,29129,1
84,7045,1
30,23160,1
607,16360,2
868,34737,2
7,16324,2
166,49331,2
479,3821,2
503,29598,2
46,40473,1
290,39952,2
47,16958,2
311,4721,1
354,39942,2
222,13487,1
227,10437,1
489,23954,1
523,49827,2
3,7578,2
874,48719,2
118,18555,2
588,33291,1
225,5888,2
874,35095,2
752,3443,2
214,46195,1
321,17826,2
844,40691,1
565,36683,1
990,15032,1
275,41453,2
618,2347,2
278,30492,2
633,47480,1
524,40765,2
521,38994,2
505,30125,2
322,5770,2
85,50991,1
564,40392,2
110,36495,1
184,53861,1
223,42080,1
828,44071,1
280,19749,1
833,47034,1
849,1576,2
505,28339,2
516,42490,2
601,20760,1
176,40763,1
341,31692,1
85,10076,2
342,34009,2
216,6589,2
953,42841,1
487,29240,2
533,12207,2
930,51582,1
492,39767,1
575,50910,1
840,44078,2
238,4119,2
955,13850,1
305,20317,1
586,10437,2
34,23670,2
602,36204,2
222,49191,1
574,7822,1
591,29176,2
237,11138,2
745,6717,2
583,23054,1
515,43265,2
736,39895,1
616,3958,2
818,48933,1
886,21731,2
590,55757,1
278,53330,1
866,55018,1
175,14247,2
352,38013,1
140,50720,2
815,5194,1
888,5137,1
84,40085,1
645,55339,2
661,43805,2
906,4391,2
673,43193,2
821,32726,2
252,43104,2
14,19465,2
834,43771,2
523,8290,2
280,47451,2
994,22644,2
81,15207,1
646,50334,1
507,31013,2
194,52869,2
458,52142,1
452,45236,2
400,2013,2
875,36163,1
87,41400,2
573,20233,1
212,40633,2
465,46351,1
539,3231,1
929,27757,1
77,46117,2
727,33955,1
323,55471,1
76,44616,2
821,12721,2
439,4527,1
638,50278,1
161,44863,1
448,41830,2
831,17028,2
934,28696,2
491,46076,1
762,25219,2
396,32526,2
705,19968,2
405,44132,1
429,5123,1
441,55629,1
598,45435,2
176,42748,1
270,5596,1
289,45584,1
346,46230,1
517,43984,1
813,42218,1
317,26673,2
90,7477,1
771,54129,2
128,4527,1
398,20363,1
623,49624,2
729,6732,2
473,514,1
502,39435,1
130,28872,1
700,4412,1
626,55638,2
248,51972,1
379,49497,1
540,44309,2
976,51324,1
494,39348,1
223,37937,2
988,2100,1
